Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
.,com.Group11.soulfulplates.services.impl,PaymentServiceImplTest,testCreatePaymentAndTransaction_InvalidUser,Magic Number,The method contains a magic number: 100.0,52
.,com.Group11.soulfulplates.services.impl,PaymentServiceImplTest,createPaymentAndTransaction_Success,Magic Number,The method contains a magic number: 100.0,72
.,com.Group11.soulfulplates.services.impl,PaymentServiceImplTest,filterPayments_Success,Long Statement,The length of the statement "when(paymentRepository.findByTransactionUserIdAndStatusOrderByCreatedAtDesc(ArgumentMatchers.eq(userId)`ArgumentMatchers.eq(status)`ArgumentMatchers.any(PageRequest.class))).thenReturn(mockPage);" is 195.,115
.,com.Group11.soulfulplates.services.impl,PaymentServiceImplTest,filterPayments_Success,Long Statement,The length of the statement "verify(paymentRepository`times(1)).findByTransactionUserIdAndStatusOrderByCreatedAtDesc(ArgumentMatchers.eq(userId)`ArgumentMatchers.eq(status)`ArgumentMatchers.any(PageRequest.class));" is 185.,115
.,com.Group11.soulfulplates.services.impl,PaymentServiceImplTest,filterPayments_Success,Magic Number,The method contains a magic number: 10,115
.,com.Group11.soulfulplates.services.impl,PaymentServiceImplTest,filterPayments_Success,Magic Number,The method contains a magic number: 100.0,115
.,com.Group11.soulfulplates.services.impl,PaymentServiceImplTest,filterSellerPayments_Success,Long Statement,The length of the statement "when(paymentRepository.findByStoreStoreIdAndStatusOrderByCreatedAtDesc(ArgumentMatchers.eq(storeId)`ArgumentMatchers.eq(status)`ArgumentMatchers.any(PageRequest.class))).thenReturn(mockPage);" is 191.,164
.,com.Group11.soulfulplates.services.impl,PaymentServiceImplTest,filterSellerPayments_Success,Long Statement,The length of the statement "verify(paymentRepository`times(1)).findByStoreStoreIdAndStatusOrderByCreatedAtDesc(ArgumentMatchers.eq(storeId)`ArgumentMatchers.eq(status)`ArgumentMatchers.any(PageRequest.class));" is 181.,164
.,com.Group11.soulfulplates.services.impl,PaymentServiceImplTest,filterSellerPayments_Success,Magic Number,The method contains a magic number: 10,164
.,com.Group11.soulfulplates.services.impl,PaymentServiceImplTest,filterSellerPayments_Success,Magic Number,The method contains a magic number: 100.0,164
.,com.Group11.soulfulplates.services.impl,PaymentServiceImplTest,updatePaymentStatus_TransactionIdMismatch,Long Statement,The length of the statement "Exception exception=assertThrows(Exception.class`() -> paymentService.updatePaymentStatus(paymentId`transactionId`status));" is 123.,234
.,com.Group11.soulfulplates.services.impl,PaymentServiceImplTest,updatePaymentStatus_TransactionIdMismatch,Magic Number,The method contains a magic number: 2L,234
.,com.Group11.soulfulplates.services.impl,RatingServiceImplTest,testGetAverageRating,Magic Number,The method contains a magic number: 4.0,41
.,com.Group11.soulfulplates.services.impl,RatingServiceImplTest,testGetAverageRating,Magic Number,The method contains a magic number: 3.0,41
.,com.Group11.soulfulplates.services.impl,RatingServiceImplTest,testGetAverageRating,Magic Number,The method contains a magic number: 3.5,41
.,com.Group11.soulfulplates.services.impl,RatingServiceImplTest,testAddRatingAndLinkToOrder_InvalidOrder,Magic Number,The method contains a magic number: 4.5,65
.,com.Group11.soulfulplates.services.impl,RatingServiceImplTest,addRatingAndLinkToOrder_NewRating,Magic Number,The method contains a magic number: 4.5,131
.,com.Group11.soulfulplates.utils,CartItemUtilsTest,testExtractItemIds,Magic Number,The method contains a magic number: 2L,13
.,com.Group11.soulfulplates.utils,CartItemUtilsTest,testExtractItemIds,Magic Number,The method contains a magic number: 3L,13
.,com.Group11.soulfulplates.utils,CartItemUtilsTest,testExtractItemIds,Magic Number,The method contains a magic number: 2L,13
.,com.Group11.soulfulplates.utils,CartItemUtilsTest,testExtractItemIds,Magic Number,The method contains a magic number: 3L,13
.,com.Group11.soulfulplates.utils,CartItemUtilsTest,testGetTotalForOrderId,Magic Number,The method contains a magic number: 10.0,32
.,com.Group11.soulfulplates.utils,CartItemUtilsTest,testGetTotalForOrderId,Magic Number,The method contains a magic number: 2,32
.,com.Group11.soulfulplates.utils,CartItemUtilsTest,testGetTotalForOrderId,Magic Number,The method contains a magic number: 20.0,32
.,com.Group11.soulfulplates.utils,CartItemUtilsTest,testGetTotalForOrderId,Magic Number,The method contains a magic number: 3,32
